,Names,Region,Era,Area
111,Alexander Bain,British,19thcentury,logicians
112,Karl Friedrich Bahrdt,,,
113,Lynne Rudder Baker,American,20thcentury,metaphysicians
114,Mikhail Bakhtin,Russian,19thcentury,
115,Mikhail Bakunin,Russian,19thcentury,"['political', 'Indexsociopoliticalthinkers', 'politicaltheorists']"
116,Arthur Balfour,,,
117,John Balguy,,17thcentury,
118,Étienne Balibar,French,20thcentury,political
119,Domingo Báñez,Catholicandtheologians,15thand16thcenturies,metaphysicians
120,Antonio Banfi,,,
121,Abraham bar Hiyya Ha-Nasi,,11ththrough14thcenturies,
122,Jonathan Barnes,British,20thcentury,
123,Brian Barry,,20thcentury,
124,Karl Barth,,19thcentury,
125,Roland Barthes,French,20thcentury,"['aestheticians', 'political']"
126,Bartolus de Saxoferrato,,11ththrough14thcenturies,
127,Johann Bernhard Basedow,German-language,,
128,Basilides,,1stthrough10thcenturies,
129,Georges Bataille,French,19thcentury,"['aestheticians', 'Indexsociopoliticalthinkers']"
130,Charles Batteux,French,,
131,Jean Baudrillard,French,20thcentury,political
132,Bruno Bauer,German-language,19thcentury,
133,David Baumgardt,,19thcentury,
134,Alexander Gottlieb Baumgarten,,18thcentury,aestheticians
135,Pierre Bayle,French,17thcentury,
136,Monroe Beardsley,American,20thcentury,aestheticians
137,James Beattie,,18thcentury,
138,"Cesare, Marquis of Beccaria",Italian,18thcentury,
139,Jakob Sigismund Beck,German-language,,
140,Vissarion Belinsky,Russian,19thcentury,aestheticians
141,Robert Bellarmine,Catholicandtheologians,,"['metaphysicians', 'political']"
142,Nuel Belnap,American,20thcentury,logicians
143,Gustave Belot,French,19thcentury,
144,Aaron Ben-Ze'ev,,20thcentury,
145,Dirk Benedict,,,
146,Friedrich Eduard Beneke,German-language,18thcentury,ethicists
147,Walter Benjamin,German-language,19thcentury,"['aestheticians', 'Indexsociopoliticalthinkers', 'political']"
148,Gottfried Benn,,,
149,Jonathan Bennett,British,20thcentury,
150,Jeremy Bentham,British,18thcentury,"['political', 'Indexsociopoliticalthinkers', 'ethicists', 'politicaltheorists']"
151,Richard Bentley,,17thcentury,
152,Nikolai Berdyaev,Russian,19thcentury,metaphysicians
153,Gustav Bergmann,American,20thcentury,
154,Henri Bergson,French,19thcentury,metaphysicians
155,George Berkeley,British,17thcentury,"['metaphysicians', 'epistemologists']"
156,Isaiah Berlin,Russian,20thcentury,"['political', 'Indexsociopoliticalthinkers', 'politicaltheorists']"
157,Claude Bernard,,,
158,Bernard of Chartres,French,11ththrough14thcenturies,
159,Bernard of Clairvaux,Catholicandtheologians,11ththrough14thcenturies,
160,Bernard Silvestris,,11ththrough14thcenturies,
161,François Bernier,French,17thcentury,
162,Eduard Bernstein,,19thcentury,political
163,Ludwig von Bertalanffy,,20thcentury,
164,Bessarion,,,
165,Bhartrhari,TimelineEastern#Japanese,1stthrough10thcenturies,
166,Gabriel Biel,,15thand16thcenturies,
167,Georg Bernhard Bilfinger,,,
168,Alfred Binet,,,
169,Ludwig Binswanger,,,
170,Max Black,American,20thcentury,aestheticians
171,Simon Blackburn,British,20thcentury,
172,William Blackstone,,18thcentury,political
173,Hugh Blair,,18thcentury,
174,William Blake,,18thcentury,
175,Maurice Blanchot,French,20thcentury,"['aestheticians', 'ethicists']"
176,Brand Blanshard,American,19thcentury,
177,Blasius of Parma,,11ththrough14thcenturies,
178,Ernst Bloch,German-language,19thcentury,Indexsociopoliticalthinkers
179,Ned Block,American,20thcentury,
180,Maurice Blondel,French,19thcentury,
181,Charles Blount,,,
182,Norberto Bobbio,Italian,20thcentury,political
183,Jean Bodin,French,15thand16thcenturies,"['political', 'Indexsociopoliticalthinkers']"
184,Anicius Manlius Severinus Boethius,,1stthrough10thcenturies,
185,Boetius of Dacia,,11ththrough14thcenturies,
186,Leonardo Boff,Catholicandtheologians,,
187,Alexander Bogdanov,Russian,19thcentury,
188,Jakob Böhme,,15thand16thcenturies,metaphysicians
189,David Bohm,American,20thcentury,epistemologists
190,Niels Bohr,,19thcentury,
191,Nicolas Boileau-Despréaux,,,
192,Samuel Bold,,17thcentury,
193,"Henry St John, 1st Viscount Bolingbroke",,,
194,Ludwig Boltzmann,German-language,19thcentury,
195,Bernard Bolzano,,18thcentury,logicians
196,Louis Gabriel Ambroise de Bonald,,18thcentury,
197,Francesco Bonatelli,,,
198,Bonaventure,Italian,11ththrough14thcenturies,metaphysicians
199,Dietrich Bonhoeffer,,20thcentury,ethicists
200,Charles Bonnet,,18thcentury,
201,George Boole,British,19thcentury,"['logicians', 'ethicists']"
202,Amadeo Bordiga,,,
203,Bernard Bosanquet,,19thcentury,
204,Rudjer Boscovich,,18thcentury,
205,Pierre Bourdieu,French,20thcentury,Indexsociopoliticalthinkers
206,Jacques-Bénigne Bossuet,,,
207,Christopher Jacob Boström,,,
208,Henri de Boulainvilliers,,,
209,Emile Boutroux,,19thcentury,
210,Oets Kolk Bouwsma,American,19thcentury,
211,Borden Parker Bowne,American,19thcentury,
212,Robert Boyle,,17thcentury,
213,F. H. Bradley,British,19thcentury,
214,Thomas Bradwardine,,11ththrough14thcenturies,logicians
215,Richard-Bevan Braithwaite,,20thcentury,
216,Richard B. Brandt,,20thcentury,
217,Franz Brentano,German-language,19thcentury,
218,Percy Williams Bridgman,,19thcentury,
219,Edgar S. Brightman,,19thcentury,
220,Jean Anthelme Brillat-Savarin,,18thcentury,aestheticians
221,Richard Brinkley,,11ththrough14thcenturies,logicians
222,Radulphus Brito,,11ththrough14thcenturies,
223,C. D. Broad,British,19thcentury,
224,David H.M. Brooks,,,
225,Thom Brooks,,20thcentury,
226,Luitzen Egbertus Jan Brouwer,,19thcentury,logicians
227,Thomas Brown,,18thcentury,
228,Peter Browne,,17thcentury,
229,Orestes Brownson,Catholicandtheologians,19thcentury,
230,Emil Brunner,,19thcentury,
231,Giordano Bruno,Italian,15thand16thcenturies,
232,Leon Brunschvicg,,19thcentury,
233,"James Bryce, 1st Viscount Bryce",,19thcentury,
234,Martin Buber,German-language,19thcentury,"['political', 'ethicists']"
235,Justus Buchler,American,20thcentury,
236,Ludwig Büchner,German-language,19thcentury,
237,Henry Thomas Buckle,,,
238,Malcolm Budd,British,,
239,Johann Franz Buddeus,,,
240,Buddhaghosa,TimelineEastern#Japanese,1stthrough10thcenturies,
241,Claude Buffier,French,17thcentury,
242,"Georges-Louis Leclerc, Comte de Buffon",,18thcentury,
243,Nikolai Bukharin,,,
244,Sergei Nikolaevich Bulgakov,,19thcentury,
245,Edward Bullough,,,
246,Rudolf Bultmann,,19thcentury,
247,Mario Bunge,Canadian,20thcentury,"['Indexsociopoliticalthinkers', 'epistemologists', 'ethicists']"
248,Jacob Burckhardt,,19thcentury,
249,Tyler Burge,American,20thcentury,
250,Jean Buridan,French,11ththrough14thcenturies,"['logicians', 'metaphysicians']"
251,Edmund Burke,,18thcentury,"['aestheticians', 'Indexsociopoliticalthinkers', 'political', 'politicaltheorists']"
252,Walter Burley,,11ththrough14thcenturies,logicians
253,Myles Frederic Burnyeat,,,
254,Richard Burthogge,,17thcentury,
255,Joseph Butler,,17thcentury,
256,Judith Butler,American,20thcentury,"['political', 'Indexsociopoliticalthinkers', 'epistemologists', 'ethicists']"
257,Samuel Butler,,19thcentury,
258,Pierre Jean George Cabanis,,18thcentury,
259,Amílcar Cabral,,20thcentury,
260,Edward Caird,,19thcentury,
261,Dorion Cairns,,,
262,Thomas Cajetan,Italian,15thand16thcenturies,"['metaphysicians', 'political']"
263,Calcidius,,1stthrough10thcenturies,
264,Mario Calderoni,,,
265,Callicles,ancientGreek,centuriesBC,
266,John Calvin,,15thand16thcenturies,political
267,Tommaso Campanella,Italian,15thand16thcenturies,
268,George Campbell,,18thcentury,
269,Norman Robert Campbell,,19thcentury,
270,Albert Camus,French,20thcentury,"['political', 'ethicists']"
271,Georges Canguilhem,French,20thcentury,
272,Georg Cantor,,19thcentury,
273,Ángel Cappelletti,,,
274,Johannes Capreolus,,,
275,Claudia Card,American,20thcentury,
276,Gerolamo Cardano,,15thand16thcenturies,
277,Thomas Carlyle,,18thcentury,political
278,Gershom Carmichael,,17thcentury,
279,Rudolf Carnap,German-language,19thcentury,logicians
280,Carneades,ancientGreek,centuriesBC,
281,Edward Carpenter,,,
282,Lewis Carroll,,19thcentury,logicians
283,Nancy Cartwright,,20thcentury,Indexsociopoliticalthinkers
284,Carl Gustav Carus,,,
285,Paul Carus,American,19thcentury,
286,Antonio Caso,,,
287,Ernst Cassirer,German-language,19thcentury,
288,Hector-Neri Castañeda,,20thcentury,
289,Cornelius Castoriadis,French,20thcentury,"['political', 'Indexsociopoliticalthinkers', 'politicaltheorists']"
290,Carlo Cattaneo,Italian,19thcentury,
291,Jean Cavaillès,French,20thcentury,
292,Stanley Cavell,American,20thcentury,aestheticians
293,Margaret Cavendish,,17thcentury,
294,Celsus of Alexandria,,1stthrough10thcenturies,
295,Michel de Certeau,Catholicandtheologians,20thcentury,
296,Pyotr Chaadaev,,,
297,Houston Stewart Chamberlain,,,Indexsociopoliticalthinkers
298,Chanakya,TimelineEastern#Japanese,centuriesBC,"['logicians', 'political', 'Indexsociopoliticalthinkers', 'politicaltheorists']"
299,Chang Hsueh-ch'eng,,18thcentury,
300,Chang Tsai,TimelineEastern#Japanese,11ththrough14thcenturies,
301,William Ellery Channing,,,
302,Walter Charleton,,17thcentury,
303,Pierre Charron,French,15thand16thcenturies,
304,François-René de Chateaubriand,,,
305,Walter Chatton,,11ththrough14thcenturies,
306,Ch'en Hsien-chang,TimelineEastern#Japanese,15thand16thcenturies,
307,Cheng Hao,TimelineEastern#Japanese,11ththrough14thcenturies,Indexsociopoliticalthinkers
308,Cheng Hsuan,,1stthrough10thcenturies,
309,Cheng Yi,TimelineEastern#Japanese,11ththrough14thcenturies,Indexsociopoliticalthinkers
310,Nikolai Chernyshevsky,,19thcentury,
311,Chia Yi,,centuriesBC,
312,Chiao Hung,TimelineEastern#Japanese,15thand16thcenturies,
313,Boris Chicherin,Russian,,
314,Ch'ien Mu,TimelineEastern#Japanese,19thcentury,
315,Chih Tun,,1stthrough10thcenturies,
316,William Chillingworth,,17thcentury,
317,Roderick Chisholm,American,20thcentury,metaphysicians
318,Noam Chomsky,American,20thcentury,"['Indexsociopoliticalthinkers', 'ethicists', 'politicaltheorists', 'epistemologists', 'political']"
319,Tasan Chông Yagyong,,18thcentury,
320,Chou Tun-Yi,,11ththrough14thcenturies,
321,Christine de Pizan,,11ththrough14thcenturies,political
322,Chrysippus,ancientGreek,centuriesBC,logicians
323,Thomas Chubb,,,
324,Alonzo Church,,20thcentury,logicians
325,Patricia Churchland,Canadian,20thcentury,
326,Paul Churchland,Canadian,20thcentury,
327,Leon Chwistek,,19thcentury,logicians
328,Cicero,Italian,centuriesBC,"['metaphysicians', 'political', 'Indexsociopoliticalthinkers', 'politicaltheorists']"
329,August Cieszkowski,,19thcentury,
330,Emil Cioran,Romanian,20thcentury,
331,Hélène Cixous,,20thcentury,
332,Clarembald of Arras,,11ththrough14thcenturies,
333,Samuel Clarke,,17thcentury,
334,Johannes Clauberg,,17thcentury,
335,Cleanthes,ancientGreek,centuriesBC,metaphysicians
